1717,58-9733614,rejected
3031,89-5357386,rejected
4614,66-0633194,yes
3783,53-0770887,no
1361,00-9986063,no
2283,73-6038397,deciding
1756,72-3854694,no
1885,27-3835058,deciding
3933,76-8476362,no
3770,06-9824001,deciding
4126,06-1243513,no
3408,55-2826851,no
3760,27-7290025,rejected
1090,32-3943436,deciding
2089,92-5714289,no
4654,49-8588065,rejected
3649,00-1239606,no
1148,39-4971281,deciding
910,04-4071787,rejected
1912,47-2239367,yes
4555,43-0573257,yes
515,09-7581542,yes
3273,75-9457180,rejected
4535,35-0579967,rejected
638,88-0900368,rejected
4878,97-0149363,no
2370,18-2319266,deciding
543,79-4690780,rejected
4143,01-1179341,no
4009,53-0091729,deciding
1035,85-1812245,no
1736,72-1522418,rejected
386,40-5404385,rejected
2064,25-9923640,no
745,17-9749166,no
4929,87-2201029,deciding
1288,20-5483991,rejected
907,41-5305197,no
1693,56-4372259,no
3959,58-6294335,deciding
1265,74-0095174,yes
3920,80-7741487,deciding
3900,04-2098382,rejected
2116,11-2455434,no
438,20-9109800,yes
3667,62-1178203,no
1962,02-4601486,rejected
2144,05-1786098,no
3925,68-7903427,rejected
3199,63-9973765,deciding
289,73-2495100,no
842,36-7272676,no
2142,83-1744648,rejected
1180,13-2265145,rejected
529,41-2322149,no
1922,34-1222293,yes
1465,45-3003046,yes
3326,26-5102425,deciding
4355,06-0006498,deciding
2618,59-5407166,no
1023,51-1186168,yes
984,09-4990419,yes
4003,46-7993309,yes
3697,94-7134279,no
653,96-4096333,no
1230,30-7871788,no
2321,61-6779883,deciding
1439,91-7620480,no
2047,33-0546877,deciding
3046,26-9068874,yes
1631,24-4633560,rejected
3369,86-0197535,yes
3663,55-8381471,rejected
4219,02-2996723,rejected
3992,71-7534196,rejected
235,80-6506890,deciding
3304,90-5457229,yes
646,49-2904411,rejected
2862,72-1853874,deciding
4272,72-8157229,deciding
2999,80-4295403,rejected
1794,74-3808263,yes
404,50-2751504,no
440,94-6465120,no
3086,67-1629012,deciding
950,95-2534588,no
4266,91-4859985,yes
3835,24-5549128,yes
162,85-0393352,deciding
3901,40-3221681,yes
916,71-5048390,deciding
2894,38-7434064,no
3949,10-0345530,rejected
1260,44-7981907,rejected
2507,09-0811956,deciding
2690,45-3591441,yes
4629,64-8921977,rejected
4547,65-7521928,no
1542,79-8508848,no
687,11-5862431,yes
3993,94-3595206,no
4142,98-2943275,deciding
2032,27-8289994,no
3351,52-1862944,rejected
1512,19-1513814,rejected
678,79-2515189,rejected
535,87-8961654,rejected
1470,69-8422546,rejected
1862,03-1123570,no
3606,43-2045360,deciding
3471,41-5027788,yes
292,84-2527672,rejected
3305,18-7545657,yes
4238,07-9508472,yes
2382,31-4764399,yes
2945,07-2178477,yes
3333,77-2717545,yes
2521,29-3022853,rejected
2194,08-4603641,no
2073,01-6789676,no
2453,06-2331629,no
1857,54-5673556,yes
1765,02-5336995,deciding
3403,84-8885630,rejected
3321,79-4184586,yes
4471,77-8332110,yes
4719,79-5783921,yes
489,37-0497405,yes
1685,44-3205010,no
3020,47-2325232,no
4227,97-3973554,no
3837,65-7098291,deciding
3092,37-6406439,rejected
4150,25-3044656,yes
3802,55-0532620,yes
473,77-7352461,yes
3088,47-9952398,no
4626,27-7001744,no
2648,76-8317672,yes
1721,13-5539733,deciding
1475,14-8549013,no
3428,91-4611602,yes
1632,82-9278754,rejected
3035,33-9293620,rejected
4826,19-2355034,deciding
1791,45-8748306,deciding
3093,19-6642669,rejected
3182,02-1141477,yes
4417,22-4528616,deciding
4334,51-7247739,no
3399,03-4711435,yes
786,62-2052772,rejected
4326,74-6587411,rejected
3874,14-4712667,yes
2308,06-7748821,yes
3688,81-0541987,deciding
1170,20-1684736,deciding
1121,26-5636224,no
353,80-6799643,deciding
1157,84-3720138,no
349,01-7104787,no
1880,99-6749117,rejected
3373,78-5930070,no
2702,33-3196867,no
142,91-7072106,no
4772,64-0160464,yes
4008,93-6456753,rejected
1759,84-8922619,deciding
3158,65-5026437,yes
4362,44-2243525,yes
2089,89-6648509,rejected
1362,83-5160613,no
999,11-4918886,no
4791,48-0121967,yes
3089,65-6679159,rejected
677,89-7597837,rejected
295,79-0021294,yes
294,36-0781398,no
2950,27-2508387,yes
4484,26-7145679,rejected
2788,67-5995278,yes
581,41-9121204,rejected
3883,06-3527027,yes
1761,53-6597851,rejected
319,64-2697691,rejected
4727,51-2817230,yes
3575,43-6897411,yes
848,95-5019974,rejected
3142,74-7826072,deciding
4150,94-0012204,no
2775,23-6586565,yes
3940,33-8995146,yes
2269,82-9625232,yes
2869,65-3091864,rejected
776,03-1954189,no
1317,07-5358240,no
4528,15-8431956,rejected
1032,26-6208861,yes
4391,59-4427131,rejected
3940,91-3707196,deciding
4256,68-3464343,no
356,23-0641935,deciding
3149,87-7237678,yes
2451,51-2013633,yes
2740,99-1486025,no
970,41-4083612,yes
2724,57-7212728,rejected
2595,66-8552462,yes
4986,68-0801390,yes
4905,07-8449188,deciding
3443,64-8522914,no
3273,80-0196531,deciding
1728,70-4419839,yes
3571,64-0963212,no
3265,86-0529150,no
495,01-9656471,no
3733,88-2698640,yes
2881,97-7903973,rejected
4508,28-5709954,rejected
4277,91-8430353,no
3429,62-3745830,no
3493,01-5207040,yes
3627,16-7066119,no
822,79-8438403,rejected
3286,73-7680445,yes
3167,12-5878524,yes
1103,31-8108661,rejected
4734,19-9131117,rejected
1573,94-9315759,deciding
4791,67-3168204,yes
120,34-4517423,yes
3949,28-1323207,no
2436,34-3206423,no
2900,97-7499012,no
2202,57-6439705,deciding
1800,55-6997565,no
2991,71-4389530,no
3095,30-2066611,no
973,19-0056397,no
3420,13-3493993,deciding
1207,77-8258352,rejected
4526,01-3427914,rejected
1590,18-8144531,yes
4709,03-8818713,no
1214,88-1434796,deciding
3020,70-1396397,no
3441,41-6138224,yes
1132,52-5884456,rejected
1698,84-3968823,no
1068,43-2552187,yes
4888,68-3015945,no
1871,62-1635915,deciding
325,76-9557671,yes
1343,17-2710136,no
1851,24-0399079,deciding
3310,35-3000491,deciding
4726,41-0745260,yes
4352,92-5989660,rejected
1263,40-9634625,no
1443,60-2343276,no
1203,71-6335495,deciding
3653,24-4113978,deciding
4866,77-3859405,rejected
1047,91-7886128,no
1944,62-3743588,rejected
794,25-1662172,deciding
3098,39-9167115,deciding
1733,28-3271108,deciding
103,51-5694460,deciding
3062,65-6762665,no
181,91-1686906,yes
4473,89-0294610,no
1012,85-8829429,rejected
4182,50-8121153,yes
4135,74-9944143,no
2751,37-7403932,deciding
260,77-7004016,rejected
1182,60-6403030,rejected
708,10-1333205,yes
1219,59-5493700,rejected
1198,55-3614681,no
2121,40-5464360,deciding
4552,31-5001530,deciding
2729,83-4644154,yes
2053,13-0977494,no
1670,72-4330104,no
4657,68-9629907,no
622,56-7035593,yes
1009,14-7424179,deciding
4795,43-5719294,deciding
444,96-9413816,yes
2342,70-8304161,deciding
415,64-7747970,no
3479,00-2303603,no
418,22-4697713,no
3462,16-1276319,rejected
2839,92-5584675,rejected
1785,72-2979700,rejected
2788,35-9074004,rejected
4171,46-7808153,yes
372,48-7748857,rejected
1098,53-2456681,yes
2331,49-8684141,deciding
1480,04-3302383,no
2957,14-9093009,deciding
1719,44-0720777,deciding
3930,98-3389554,no
2258,17-4460679,rejected
1745,12-0973493,yes
3028,89-9587704,rejected
722,80-0797140,yes
3617,22-5759838,deciding
361,87-6620620,yes
3760,99-1271496,rejected
3625,04-0944888,deciding
2210,68-3036608,yes
2095,69-6085558,yes
3200,68-8359193,yes
887,81-1248802,yes
2502,07-8469557,yes
4755,86-4653160,rejected
1334,04-7036458,rejected
2585,26-6128958,yes
4937,50-4881917,no
4489,95-2550622,deciding
126,87-6287521,no
3907,97-8749009,deciding
3367,82-0107857,deciding
4287,47-4007197,rejected
2010,34-0307705,rejected
726,29-6564534,no
4107,49-2384291,rejected
2649,99-0670899,deciding
3382,29-4514111,deciding
2855,14-0607778,deciding
3024,36-3874721,rejected
1984,96-9649771,no
2529,89-3841515,yes
2803,66-1265109,deciding
715,77-0195776,yes
2283,44-0327677,no
2630,68-9238856,no
3238,52-1169637,deciding
2748,04-6865043,deciding
3621,06-2587188,rejected
491,15-8898498,yes
578,27-6028823,no
3032,82-9232377,deciding
2239,11-0946863,no
3116,61-9127684,rejected
4916,83-3160872,no
2928,95-1791782,no
184,80-1265300,no
1676,70-1465131,yes
3052,62-5630182,yes
185,40-4277082,deciding
1795,73-2249194,no
1265,48-2195125,no
1639,57-7686007,yes
143,96-3637950,deciding
4989,43-9180095,yes
3551,25-1741809,deciding
1648,62-0672692,deciding
182,24-4349287,rejected
2331,64-5946768,yes
4032,68-5602519,rejected
4229,88-5254881,rejected
4090,87-4259762,yes
1370,37-0873547,rejected
1818,35-3685132,no
3081,38-7234278,yes
393,49-3399394,yes
4825,90-7721123,deciding
4087,87-3285288,no
310,66-2799599,yes
1819,26-6932308,yes
725,67-6394513,rejected
613,94-1618280,yes
1271,95-3931474,deciding
244,92-3017767,deciding
2980,02-2490270,rejected
683,91-4511460,yes
1449,16-6219451,deciding
4253,45-1118636,rejected
2772,02-8107440,no
1931,89-3632383,yes
1369,29-8499594,yes
433,88-1934826,yes
4748,05-5525563,deciding
739,34-1764907,rejected
4808,39-6846300,deciding
421,37-3965628,deciding
1509,55-3493785,yes
2311,36-3325433,yes
1037,88-8041480,no
3559,66-9375486,yes
4765,76-3684455,rejected
4195,77-0561382,rejected
1613,84-0791611,deciding
2844,31-7733153,no
1260,04-1155165,rejected
1942,84-4588216,no
3949,27-6752746,rejected
2487,40-5371288,no
1441,13-0859849,no
4565,74-6133275,yes
2978,90-7729000,rejected
4932,52-0880121,deciding
3318,83-0415823,deciding
1920,40-7624986,deciding
3542,86-3959552,no
802,75-5134751,no
3443,01-3694361,deciding
3415,99-3620726,no
1345,12-1762008,deciding
298,41-6924109,deciding
3975,10-3586231,rejected
3816,56-0685853,rejected
305,99-5130569,deciding
4239,82-6427999,deciding
4548,06-3132799,deciding
918,36-4740293,no
3640,62-7324416,deciding
251,77-6436430,rejected
2221,29-4836606,yes
587,93-0658675,yes
952,85-1437300,no
2030,41-5686455,rejected
847,89-4545149,rejected
1568,14-0090795,rejected
3061,19-8487487,rejected
2716,02-9853534,deciding
4042,02-0032601,deciding
2486,83-1866544,rejected
1194,01-3407629,yes
495,10-8249884,yes
1827,67-6319177,no
581,71-2552359,yes
2373,10-8579735,rejected
4988,46-7818133,deciding
1293,46-4474362,yes
2739,27-9524027,deciding
2929,17-1002284,no
2096,45-4463465,rejected
146,77-5703131,yes
749,07-1964801,deciding
789,08-3193008,rejected
2629,51-8395321,no
346,20-2030566,yes
3210,27-8450703,no
3483,58-8221310,yes
4463,52-9312091,yes
3513,65-5439392,yes
1755,76-0309350,no
2703,99-5950444,yes
1350,33-5994458,rejected
4832,83-0377393,no
1398,81-6144218,no
4048,99-2892433,deciding
4814,65-1523139,deciding
3881,38-7962639,yes
3475,39-5437165,rejected
4471,90-1419357,no
3574,31-9847333,no
4484,94-0236123,no
2860,18-6285719,yes
2541,25-3656859,no
1265,76-7356957,no
474,59-9210304,rejected
1996,59-5954234,yes
